L_ListingID,L_Address,L_City,beds,baths,price,remarks
1159856468,17925 Highway 9,Boulder Creek,2.0,1.0,135000,"Tucked among the redwoods in the heart of Boulder Creek, 17925 Highway 9 presents a rare opportunity for investors, contractors, and buyers looking to unlock the potential of a mountain property with strong upside. This major fixer-upper is a true contractor special, ready for a complete renovation or redevelopment vision. The property offers the convenience of existing public utilities, including water, power, and propane, providing a valuable foundation for future improvements. Set on a scenic parcel with easy access to Highway 9 and the San Lorenzo River, the location offers proximity to downtown Boulder Creek, outdoor recreation, and a convenient commute to Silicon Valley or Santa Cruz. Due to the property's current condition, the home will most likely require a cash-only purchase and is best suited for experienced buyers, builders, or investors seeking their next project. Bring your tools, creativity, and vision to restore or reimagine this unique mountain property. Opportunities like this are becoming increasingly rare in Boulder Creek. Home will need a new retaining wall and engineered septic system."
1176041243,3419 Montrose Ave,La Crescenta,8.0,7.0,2549000,"Rare 2024 new construction detached triplex in the desirable La Crescenta-Montrose foothill community. This thoughtfully designed property features three fully detached residences with no shared walls, creating the privacy, comfort, and feel of separate homes while maintaining the flexibility of a multifamily property.

The property includes a front 3-bed with 2-bath residence, a second 3-bed with 2.5-bath residence, and a rear 2-bed with 1.5-bath residence, totaling approximately 2,940 SF of living area plus approximately 880 SF of private garage space. Features include two private 2-car garages, EV charging infrastructure, owned solar systems, separate gas, electric, and water meters, central HVAC, in-unit laundry, custom cabinetry, smart home features, fiber optic wiring, security cameras, LED lighting, motion-activated exterior lighting, and low-maintenance landscaping.

Built with attention to privacy, efficiency, and long-term ownership value, the property also features enhanced insulation throughout the interior and exterior walls, including bathrooms, durable exterior improvements, and thoughtfully designed common areas.

Located near Glendale, La Cañada Flintridge, Pasadena, Burbank, Honolulu Avenue shops, parks, and 210 freeway access. A rare opportunity to own a newly built detached multifamily property in one of the most sought-after foothill communities in Los Angeles County."
1178747931,8420 W Sunset Boulevard 607,West Hollywood,4.0,4.0,7299000,"The final Terrace Estate Duplex at The Sun Rose Residences, Residence 607 offers a rare dual-level, fully-serviced residence in the heart of WeHo. Designed by EYRC Architects with interiors by Martin Brudnizki, this 4BR, 3.5BA home spans 4,435 interior SF with direct elevator access on both levels and 647 exterior SF across two private terraces, one with a spa. The great room features floor-to-ceiling glass, sweeping LA views and a chef's kitchen with an oversized Calacatta Borghini marble island and Sub-Zero and Wolf appliances. The primary suite features a Poliform walk-in closet and spa-inspired marble bath. Owners enjoy personalized residential services, including a dedicated concierge and 24-hour in-residence dining, plus privileged access to The Sun Rose Hotel's dining, wellness and live music, combining the privacy of home with a fully-serviced lifestyle above the Sunset Strip."
1173659521,3207 Kenneth Drive,Los Angeles,3.0,2.0,874850,"For investors seeking an occupied rental with current market-rate income and a longer-term foothold in Los Angeles and growing El Sereno real estate, this property presents a compelling opportunity.  Newly leased at market rate to reliable tenants, this well-maintained 3-bedroom, 2-bath home offers rental income from day one, with an established tenancy already in place. An appealing addition to a rental portfolio, the property merits consideration for investors pursuing an intermediate-term hold or a long-term ownership strategy.  Seller willing to cooperate with a buyer’s 1031 exchange.  All specifics subject to mutually agreeable terms.
Built in 2005 and situated on a quiet cul-de-sac, the home combines privacy, sweeping San Gabriel Valley views, and convenient access to Downtown Los Angeles, Highland Park, Pasadena, and Cal State LA. Its elevated setting and spacious hillside lot offer a distinctive rental proposition in the connected 90032 neighborhood.
Vaulted ceilings, abundant natural light, and recent improvements—including vinyl wood flooring and fresh interior paint—enhance the home’s rental appeal. A large two-car garage and two additional driveway spaces further distinguish the property, while automatic sprinklers support landscape upkeep."
1182195063,2194 Lago Ventana,Chula Vista,3.0,3.0,699000,"Located in the desirable gated community of Chapala. Beautiful 2-story home has 3 bedrooms, 2 1/2 baths of comfortable living, with an open functional plan, perfect for entertaining. This home features energy-efficient solar panels, a spacious backyard patio just off the family/dining room that is perfect for entertaining and has flower beds ready for you to create your own space. Lots of natural light and an attached two car garage with plenty of guest parking nearby. Main bedroom features large walk-in closet. Chapala community pool and tennis courts are located close by. This home is conveniently located near top rated shopping, dining, parks, schools, and freeway. SELLER IS OFFERING BUYER CONCESSIONS TO ASSIST WITH CLOSING."
1176570602,1663 Coral Sea Lane,San Pedro,4.0,4.0,986990,"This is a new construction home that is sure to delight! There is a junior primary suite on the first floor for flexible use. This home feels larger than the square footage suggests. The home will include classic white shake-style cabinets that match any design style. Limited opportunity to select your own backsplash, counter, and flooring. This end-unit floor plan includes additional exposure for enhanced natural light throughout the home. Spanning three stories, Plan 1D combines functional living space with everyday flexibility. The great room is designed for effortless entertaining, featuring an open-concept layout where the kitchen, dining, and living areas flow together seamlessly. The kitchen includes an oversized island, ample counter and cabinet space, and space for all-electric stainless-steel appliances. Large stacking doors lead to a private deck, extending the living space outdoors. A powder room completes this level for added convenience. The third floor features the private primary suite with a walk-in closet and en-suite bath, along with two additional bedrooms, a second full bathroom, and a dedicated laundry room. With its end-unit setting, abundant natural light, and versatile layout, Plan 1D is a great new construction home built for the way you live. Common area amenities include a resort-style pool, spa, fitness center, and rec center minutes from the coast. Great location to easily get to Orange County, Downtown LA, LAX, and the beach. Photography and virtual tour reflect Plan 1 model home and is used for visual representation only. Finishes will vary."
1147219542,41455 Coventry,Newberry Springs,3.0,1.0,162000,***BACK TO MARKET!!!***JUST REDUCED PRICE!!!10 ACRE HUGE LOT IN NEWBERRY SPRINGS WITH SINGLE FAMILY RESIDENT HOUSE AND MOBILE HOME IN THE BACK*** THE MAIN HOUSE HAS 3 BEDROOM 1 BATHROOM AND THE MOBILE HOME HAS 2 BEDROOM 1 BATHROOM BUT NEED REPAIRS*** THIS PROPERTY HAS WELL WATER WITH TANK AND PUMP MOTOR*** NO HOA!!! AND LOW PROPERTY TAX***VERY MOTIVATED SELLER!!!***
1184673014,810 Oak Grove Rd 98,Concord,1.0,1.0,289000,"Amazing location in Concord near Walnut Creek border! Top floor unit in Summerwood West. This 1 bedroom 1 bath has so much to offer including vaulted ceiling, open concept living and dining area, cozy fireplace in living room, spacious bedroom, balcony with storage closet, modern style kitchen, 2 community pools, water and garbage included and carport conveniently located in front of the unit! Truly incredible location! Walk to Trader Joe's, restaurants, schools and shopping! Minutes to Pleasant Hill Bart, Whole Foods Market and Walnut Creek shopping. Wonderful opportunity to own in one of Concord's most convenient areas!"
1169557165,10 live Oak,Pittsburg,3.0,3.0,749990,"This stunning 3-bedroom and a loft, 2.5-bathroom home has been thoughtfully updated with approximately $300K in upgrades throughout such as  custom kitchen cabinets, marble and vinyl wood flooring, double pane windows, bay window, custom shades, shutter and draperies, bathroom marble backsplash, custom iron gates and low maintenance landscaping front and back, all blending modern style with comfort. The master bedroom access to a spacious 285 sq ft terrace through a French doubled-door creates a luxurious private retreat overlooking the delta  The gourmet kitchen updated with premium quartz counter-tops, featuring sleek stainless steel appliances & contemporary finishes. The spacious living room, with its vaulted ceilings, offers a grand entrance, while the formal dining room provides the perfect setting for family meals or entertaining guests. The open-concept family room and kitchen area create an inviting space for gatherings. Step outside to your private spacious 9,600 sq ft backyard oasis, where a covered patio and custom iron gates awaits for relaxing outdoor meals or simply some privacy unwinding after a long day.  The expanded backyard has room for a potential ADU (buyer to verify).  The rare spacious side yard offers exceptional flexibility for play area, storage, your dream workshops or additional parking.  Conveniently located walking distance across the BART station and Oak Hills shopping center and the new San Marco Sprout shopping center.  No HOA or Mellow-roos fees."
1169223622,7250 Franklin Avenue 1008,Los Angeles,1.0,2.0,749000,"This beautifully updated residence pairs serene hilltop views with resort-style amenities and polished, contemporary interiors. An open living and dining area welcomes you to beautiful wood floors, soft neutral tones, framed and sleek media wall, creating a warm yet sophisticated space for everyday relaxing and effortless entertaining. Sliding glass doors draw you out to a covered balcony, where you can sip morning coffee or sunset cocktails while taking in sweeping vistas of the Hollywood Hills and city skyline.
The chef-inspired galley kitchen showcases quartz-style counters, modern shaker cabinetry, brass-tone hardware, stainless steel appliances, and in-unit laundry, all arranged for maximum function and style. A spacious bedroom retreat features clean lines, abundant light, and direct access to the balcony, while the spa-like baths offer designer tile, cozy vanities, and chic gold fixtures for a boutique-hotel feel. Beyond your front door, the building lives like a private club with a sparkling pool and spa, rooftop lounge with cabanas and jaw-dropping views, a well-equipped fitness center, and inviting indoor lounge spaces—delivering a complete Hollywood lifestyle in one stunning package."
1190540441,3633 Calle Jazmin,Calabasas,3.0,3.0,1875000,"Extensively renovated Calabasas home showcasing over $300,000 in recent upgrades throughout. This turnkey residence has been thoughtfully reimagined from the inside out, including all-new rough electrical, plumbing, and HVAC systems, offering buyers true peace of mind. The completely remodeled kitchen opens seamlessly to the living area thanks to a newly opened floor plan, creating a bright, expansive space ideal for entertaining. Remodeled bathrooms, all-new flooring, new windows and fresh paint throughout complete this stunning transformation. It is 3 bedrooms plus a den and smart home features.  Move right in and enjoy the best of Calabasas living."
1190649326,2204 Cheyenne Way,Modesto,4.0,2.0,549900,"In one of Modesto's most sought-after areas, the house was remodeled a few years ago. New roof in 2018. No HOA. Hurry, it won't last long."
1189253606,1225 Island Ave 304,San Diego,2.0,2.0,639900,"Downtown living, done right, steps from Petco Park. This oversized 2-bedroom, 2-bath condo puts you blocks from Petco Park and everything downtown San Diego does best, dining, nightlife, energy, all outside your door. Well-planned layout with storage throughout, a rare find in a downtown condo.  The kitchen is where this one stands apart: a sleek range hood, custom designer backsplash, built-in wine fridge, and clean modern finishes throughout. Full-size side-by-side washer and dryer means no compromises on daily living. Two dedicated parking spaces and an oversized private storage locker, genuinely hard to find at this price point downtown. Add low HOA dues, and this is a rare combination of space, style, and value in one of San Diego's most walkable neighborhoods. Park Boulevard East is a VA approved community."
1173076830,29600 Timberline Road,Willits,3.0,2.0,460000,"Escape to your own private retreat with this stunning 20+ acre property offering space, privacy, income potential, and endless possibilities. This spacious home features scenic views, 3-bedroom, 2-bath plus 2 huge bonus rooms, currently used as 4th and 5th bedrooms, an open-concept living area, and a separate family room creating the perfect blend of comfort and functionality. The home also includes a 2-car attached garage and ample room for entertaining, hobbies, or multi-generational living. Outside, is a bunkhouse/cabin ADU currently producing rental income, offering immediate value and flexibility for guests, extended family, or additional revenue. Nature lovers and homesteaders alike will appreciate the two ponds, 2 wells, full greenhouse, and multiple outbuildings, providing space for gardening, animals, storage, workshops, or future projects. Conveniently on-grid and ready for its next owner, this rare property offers the perfect opportunity to enjoy country living without sacrificing modern convenience."
1157466189,500 E Amado Road 407,Palm Springs,2.0,2.0,520000,"Welcome to your desert retreat in the highly sought-after Deauville community, perfectly situated in the heart of Palm Springs—just moments from the casinos, premier shopping, and an array of popular dining destinations.
This beautifully maintained and fully furnished condo offers the ideal blend of comfort and flexibility, featuring two spacious primary En-suites thoughtfully positioned on opposite sides of the home—perfect for privacy and hosting guests. Elegant plantation shutters throughout and soft Berber carpeting create a warm, refined atmosphere.
At the heart of the home, you’ll find a generously sized living area designed for both comfort and connection. The kitchen features a charming breakfast bar that opens seamlessly into the dining area, which flows effortlessly into the living room—creating a welcoming, open-concept space ideal for everyday living and entertaining.
Enjoy indoor-outdoor living at its finest with two private decks, including one with stunning views overlooking the tranquil fountain—an ideal setting for peaceful morning coffee or relaxing evening dinners under the desert sky.
Photos and Video attached to listing.
The Deauville offers resort-style amenities, including sparkling pools and hot tub, tennis courts, a welcoming card room, and beautifully maintained grounds with picturesque mountain views.
Whether you’re searching for a full-time residence, a luxurious vacation getaway, or an income-producing property, this home offers exceptional versatility. Rental opportunities are available with a minimum 14-day stay.
Don’t miss this incredible opportunity to own a piece of Palm Springs paradise—where lifestyle, location, and comfort come together effortlessly."
1190439420,2573 Benedict Canyon Drive,Los Angeles,4.0,4.0,3295000,"Available for the first time in nearly 50 years along Benedict Canyon's Celebrity Row - a well-loved, longtime family retreat with tennis court, pool, and hillside views. Situated on nearly 3/4 of an acre, this sprawling Traditional home awaits its next era with your creative vision. Privately located on a promontory, the home is approached by a driveway shared with only one neighbor. Guests are greeted by a well manicured, Tudor inspired exterior with flat driveway and 2 car garage. Inside, a vaulted formal foyer introduces an expansive floor plan of over 3,900 square feet. A large formal living room with fireplace and decorative glass windows opens to a grassy side yard. Dining room with herringbone floor inlay connects to the kitchen with center island, breakfast area, and large pass-through window to the pool deck. A cozy den with wet bar and built-ins opens to the broad pool area, a sunny place for year round enjoyment with views overlooking the greenery of the canyon. Groovy mirrored hall bath, guest bedroom suite, and large utility laundry room complete the main level. Up the dramatic staircase, the primary suite occupies an entire wing of the upper level. Vaulted ceilings, a fireplace, and a private balcony create a special daily retreat, complemented by a generous walk-in closet and five-piece bathroom with dual water closets. A false bookcase conceals nearly 400 square feet of additional carpeted storage. Two large bedrooms and a hall bathroom occupy the opposite wing, along with a private office featuring original wallpaper and built-ins. Beyond the pool and grassy side yard area, a staircase brings you through the garden to the large, lighted regulation sized tennis court with referee stand. On this lower level of the property, adjacent to the court's entrance is guest parking for up to 8 vehicles. A tremendous opportunity to revive and renew, minutes from the Beverly Hills Hotel. DO NOT USE APPLE MAPS! Property is accessed from driveway on Benedict Canyon, between Hutton and Liebe."
1177529576,1268 Bellingham Drive,Oceanside,4.0,5.0,1199999,"This property is priced to sell today!  It is Move-In Ready!  Welcome to 1268 Bellingham Drive, a stunning golf course home offering 4 bedrooms, 5 bathrooms, and 3,203 square feet of beautifully designed living space in one of Oceanside's most desirable communities.  From the moment you arrive, you'll appreciate the home's impressive curb appeal with professionally landscaped front and rear yards that create a warm welcome and exceptional outdoor living experience. Inside, an open and thoughtfully designed floor plan provides generous living spaces ideal for both everyday comfort and entertaining.  The main level features a highly desirable full bedroom and bathroom, perfect for guests, multi-generational living, or a private home office. The spacious living areas flow effortlessly into the kitchen and family room, all designed to maximize natural light and capture picturesque views of the golf course beyond. Upstairs, the expansive bedrooms offer comfort and privacy, while the home's five bathrooms provide convenience for family and guests alike. Step into the beautifully landscaped backyard where you'll enjoy peaceful mornings overlooking the lush fairways and relaxing evenings entertaining friends and family. Backing directly to the golf course, this premium location offers a tranquil setting with scenic views and added privacy.  Community includes an activity center with pool, BBQ area, playground, and clubhouse.  Conveniently located near top-rated schools, shopping, dining, Arrowood Golf Course, parks, and just minutes from Oceanside's world-famous beaches, harbor, and vibrant downtown, this exceptional property combines luxury, space, and an unbeatable lifestyle."
1183541528,5525 Canoga Avenue 124,Woodland Hills,3.0,2.0,550000,"**FHA APPROVED** Largest unit at The Met! A truly rare offering of the highly sought after 3 Bedroom gem. A wonderful END CORNER UNIT with only 1 shared wall, tucked away in a quiet and convenient location at the back of building 2, which is directly across from the main pool, spa, gym, clubhouse, tennis courts and more! This wonderful home features a wide open floor plan, which utilizes an open concept to provide both privacy and functionality. From the moment you enter, you will notice the recently upgraded LVP flooring throughout, new double pane windows, recessed LED lighting, updated light fixtures and bedroom ceiling fans, fresh paint, high-end stainless appliances in the kitchen as well as a FULL SIZE LG washer and dryer. From the kitchen, open views of the living room and dining area prevail. The kitchen features plenty of counter and cabinet space, in addition to a sizable breakfast bar countertop, perfect for those less formal gatherings. The living room is spacious while featuring a charming gas fireplace, storage closet, as well as access to your private over-sized wrap around balcony. All 3 bedrooms are generous in size, but the primary suite is truly impressive, with plenty of closet space, an en-suite bathroom and even a small alcove, perfect for a sitting area or small office. The Met is a guard gated community that sits on 26 acres of meticulously landscaped grounds, featuring 4 resort-style swimming pools, 6 night lighted tennis courts, full fitness center, racquetball and indoor basketball courts and multiple spas. Water, trash and Earthquake insurance are also included in the HOA. All this, located within walking distance to The Village, Westfield Topanga and all the dining, shopping & entertainment Warner Center has to offer."
1145433545,78494 Blackstone Court,Bermuda Dunes,4.0,5.0,1248000,"Welcome to this magnificent desert estate, a residence where luxury, comfort, and style converge into a singular experience. This gorgeous 4 bedroom, 4.5 bath home, encompassing 3,240 square feet, is situated on a premium 14,375 square-foot corner lot, providing unparalleled space and privacy. Upon arrival, be captivated by the elegant paver-lined driveway and meticulously landscaped front yard. The home’s interior reveals a sprawling open floor plan, distinguished by travertine and wood flooring, soaring ceilings with crown molding, and recessed lighting that illuminates the main living areas. The combined formal living and dining rooms offer an ideal setting for sophisticated entertaining, while the inviting TV room provides a cozy retreat with its built-in entertainment center, bookshelves, surround sound, and a charming fireplace. The heart of the home is the gourmet kitchen, a culinary masterpiece designed to impress. It features granite slab countertops, stainless steel appliances, a gas cooktop, and a spacious island with a breakfast bar. The luxurious master suite is a true sanctuary, boasting a separate seating area, his-and-hers walk-in closets, and a spa-like bathroom complete with double vanities, a deep soaking tub, a custom tiled shower and a stunning custom painted wall mural. Step outside into a private, resort-style backyard retreat, where luxury and comfort are harmoniously blended. A spacious, pergola-covered patio features a built-in fireplace, a fully equipped outdoor kitchen with a BBQ, and multiple seating areas perfect for gatherings. The centerpiece is a sparkling pool with an elevated spa, cascading water features, and a dramatic stone backdrop framed by swaying palms and lush landscaping. This exceptional home also includes a 3-car garage with a mini-split AC system for ultimate comfort and storage, alongside two brand-new Lennox AC units that ensure energy efficiency and year-round climate control. This unparalleled residence is located within the prestigious, gated enclave of Stone Gate, one of Bermuda Dunes’ most sought-after neighborhoods. The community offers a perfect blend of seclusion and convenience, placing you just minutes from world-class golf courses, fine dining, shopping, and entertainment. This is more than a home; it is a testament to luxurious desert living."
1175336423,2326 Santa Ynez Avenue,San Luis Obispo,6.0,4.0,2175000,"Welcome to Monterey Heights - One of the most coveted neighborhoods in San Luis Obispo known for its views, privacy, and convenient access to town. 2326 Santa Ynez is a contemporary new construction home (built in 2020) with an attached ADU; great for additional income or extended family. The home is perched on the hill dramatically overlooking the picturesque mountains and has generous amounts of deck and patio space to enjoy it. Located only minutes to Downtown SLO, the Monterey Heights neighborhood caters to those seeking an urban lifestyle with the views of rural living. The home is expertly designed by acclaimed architects TenOver Studio and custom built by luxury builder Ed Cuming Construction; maximizing views and functionality. This 3,246± Sq. Ft. home includes 5 bedrooms and 2.5 bathrooms within the main residence plus an attached 1 bedroom + 1 bathroom ADU below with private entrance. The extended private driveway is a major premium offering dedicated off-street parking. Premium modern amenities include: custom solid wood cabinets certified by FSC, Tier 1 Caesarstone quartz countertops, engineered oak hardwood floors by Shaw, and GE Monogram professional grade appliances. The large wraparound deck allows panoramic views of the surrounding hills with ample space for entertaining guests. This home is a true Net-Zero energy efficient home with 100%-Owned rooftop solar power, LG Chem Battery for onsite energy storage, and two ChargePoint electric vehicle chargers installed in the garage. Come experience contemporary living at Monterey Heights and schedule a walk-through."
1189328838,1611 46th,Los Angeles,4.0,3.0,880000,"LIVE IN THIS PROPERTY FOR A VERY LOW MORTGAGE PAYMENT, CALL AGENT TO ASK HOW. Single family home that has been converted to three separate spaces. Showing as a 3 bed, a 2 bed, and a 1 bed with strong rents. Perfect property for multi generational living! Home is divided for private living for multiple families . Conveniently located near schools, freeways, shopping and entertainment. Los Angeles continues to see major revitalization and long-term investment, with billions being poured into infrastructure, transportation, and development ahead of the 2028 Olympics. Do not disturb occupants, contact listing agent for showings. Buyer to do their due diligence. Do not disturb occupants."
